area,region
administrative_area_level_1.18,illinois
administrative_area_level_1.19,missouri
administrative_area_level_1.20,illinois
administrative_area_level_1.21,texas
administrative_area_level_1.22,nevada
administrative_area_level_1.23,massachusetts
administrative_area_level_1.24,connecticut
administrative_area_level_1.25,south carolina
administrative_area_level_1.26,washington
administrative_area_level_1.27,south carolina
administrative_area_level_1.28,california
administrative_area_level_1.29,new jersey
administrative_area_level_1.30,iowa
administrative_area_level_1.31,kansas
administrative_area_level_1.32,florida
administrative_area_level_1.33,kentucky
administrative_area_level_1.34,kansas
administrative_area_level_1.35,arizona
administrative_area_level_1.36,nevada
administrative_area_level_1.37,illinois
administrative_area_level_1.38,texas
administrative_area_level_1.39,north carolina
administrative_area_level_1.40,north carolina
administrative_area_level_1.41,north carolina
administrative_area_level_1.42,kentucky
administrative_area_level_1.43,ohio
administrative_area_level_1.44,arizona
administrative_area_level_1.45,washington
administrative_area_level_1.46,connecticut
administrative_area_level_1.47,vermont
administrative_area_level_1.48,virginia
administrative_area_level_1.49,texas
administrative_area_level_1.50,pennsylvania
administrative_area_level_1.51,arkansas
administrative_area_level_1.52,connecticut
administrative_area_level_1.53,california
administrative_area_level_1.54,north carolina
administrative_area_level_1.55,texas
administrative_area_level_1.56,california
administrative_area_level_1.57,wisconsin
administrative_area_level_1.58,new jersey
administrative_area_level_1.59,florida
administrative_area_level_1.60,california
administrative_area_level_1.61,maryland
administrative_area_level_1.62,maryland
administrative_area_level_1.63,california
administrative_area_level_1.64,pennsylvania
administrative_area_level_1.65,florida
administrative_area_level_1.66,texas
administrative_area_level_1.67,georgia
administrative_area_level_1.68,california
administrative_area_level_1.69,new york
administrative_area_level_1.70,missouri
administrative_area_level_1.71,wisconsin
administrative_area_level_1.72,kentucky
administrative_area_level_1.73,michigan
administrative_area_level_1.74,florida
administrative_area_level_1.75,utah
administrative_area_level_1.76,maryland
administrative_area_level_1.77,virginia
administrative_area_level_1.78,california
administrative_area_level_1.79,california
administrative_area_level_1.80,california
administrative_area_level_1.81,south carolina
administrative_area_level_1.82,maryland
administrative_area_level_1.83,texas
administrative_area_level_1.84,virginia
administrative_area_level_1.85,florida
administrative_area_level_1.86,new york
administrative_area_level_1.87,illinois
administrative_area_level_1.88,indiana
administrative_area_level_1.89,pennsylvania
administrative_area_level_1.90,california
administrative_area_level_1.91,california
administrative_area_level_1.92,michigan
administrative_area_level_1.93,michigan
administrative_area_level_1.94,kansas
administrative_area_level_1.95,missouri
administrative_area_level_1.96,minnesota
administrative_area_level_1.97,maryland
administrative_area_level_1.98,ohio
administrative_area_level_1.99,california
administrative_area_level_1.100,texas
administrative_area_level_1.101,missouri
administrative_area_level_1.102,illinois
administrative_area_level_1.103,florida
administrative_area_level_1.104,illinois
administrative_area_level_1.105,florida
administrative_area_level_1.106,new jersey
administrative_area_level_1.107,district
administrative_area_level_1.108,of
administrative_area_level_1.109,columbia
administrative_area_level_1.110,alabama
administrative_area_level_1.111,virginia
administrative_area_level_1.112,florida
administrative_area_level_1.113,new york
administrative_area_level_1.114,new hampshire
administrative_area_level_1.115,massachusetts
administrative_area_level_1.116,new mexico
administrative_area_level_1.117,florida
administrative_area_level_1.118,california
administrative_area_level_1.119,texas
administrative_area_level_1.120,pennsylvania
administrative_area_level_1.121,california
administrative_area_level_1.122,florida
administrative_area_level_1.123,florida
administrative_area_level_1.124,georgia
administrative_area_level_1.125,maine
administrative_area_level_1.126,kansas
administrative_area_level_1.127,washington
administrative_area_level_1.128,california
administrative_area_level_1.129,arizona
administrative_area_level_1.130,virginia
administrative_area_level_1.131,new york
administrative_area_level_1.132,texas
