"","lon","lat"
"1088",-79.0192997,35.7595731
"1089",-43.1868592,-22.9697777
"1090",-51.92528,-14.235004
"1091",-43.18473,-22.9332067
"1092",-89.1792621,37.4793567
"1093",-51.92528,-14.235004
"1094",NA,NA
"1095",-73.567256,45.5016889
"1096",-71.4774291,41.5800945
"1097",-80.369409,33.8481857
"1098",NA,NA
"1099",NA,NA
"1100",28.222528,-25.684143
"1101",NA,NA
"1102",NA,NA
"1103",NA,NA
"1104",NA,NA
"1105",-38.4784214,-12.956351
"1106",NA,NA
"1107",NA,NA
"1108",NA,NA
"1109",NA,NA
"1110",-86.7816016,36.1626638
"1111",-43.1728965,-22.9068467
"1112",NA,NA
"1113",NA,NA
"1114",-43.3053106,-22.7862985
"1115",-51.1694049,-29.1610834
"1116",-43.18473,-22.9332067
"1117",-63.5752387,44.6487635
"1118",-3.0356748,53.8175053
"1119",NA,NA
"1120",NA,NA
"1121",-43.1728965,-22.9068467
"1122",-75.5276699,38.9108325
"1123",NA,NA
"1124",-98.4936282,29.4241219
"1125",NA,NA
"1126",-43.1728965,-22.9068467
"1127",-48.5322181,-27.6614791
"1128",-43.18473,-22.9332067
"1129",0.5217254,51.2787075
"1130",0.5217254,51.2787075
"1131",-48.5757024,-27.157469
"1132",-1.1743197,52.3555177
"1133",NA,NA
"1134",-7.6920536,53.1423672
"1135",-97.1094223,33.1857859
"1136",-111.8412502,33.3061605
"1137",19.5033041,47.162494
"1138",-2.2380335,51.8642112
"1139",-74.924321,42.7006303
"1140",NA,NA
"1141",NA,NA
"1142",-74.4056612,40.0583238
"1143",NA,NA
"1144",NA,NA
"1145",-97.6678722,30.2022114
"1146",-72.6151169,40.9848784
"1147",-81.4110985,40.9852975
"1148",-84.1916069,39.7589478
"1149",NA,NA
"1150",28.1068267,-25.483403
"1151",NA,NA
"1152",-86.01335,39.9567548
"1153",-9.1393366,38.7222524
"1154",-118.2436849,34.0522342
"1155",NA,NA
"1156",-97.6678722,30.2022114
"1157",-52.3375886,-31.7653989
"1158",-93.2922989,37.2089572
"1159",-97.6678722,30.2022114
"1160",-80.8431267,35.2270869
"1161",-85.323214,51.253775
"1162",-76.6121893,39.2903848
"1163",-122.0807964,37.6688205
"1164",NA,NA
"1165",-52.3375886,-31.7653989
"1166",-43.1728965,-22.9068467
"1167",140.5346762,36.3966149
"1168",-81.5157535,27.6648274
"1169",NA,NA
"1170",-80.8431267,35.2270869
"1171",-115.1398296,36.1699412
"1172",NA,NA
"1173",NA,NA
"1174",-107.4338866,32.4507852
"1175",-106.6055534,35.0853336
"1176",-63.5752387,44.6487635
"1177",-106.346771,56.130366
"1178",NA,NA
"1179",-79.3831843,43.653226
"1180",-79.786968,45.091189
"1181",151.277726,-33.89102
"1182",-43.1728965,-22.9068467
"1183",-118.2436849,34.0522342
"1184",NA,NA
"1185",-76.2858726,36.8507689
"1186",-81.7948103,26.1420358
"1187",-96.336499,30.618531
"1188",-43.1728965,-22.9068467
"1189",-75.977985,36.8529263
"1190",-1.61778,54.978252
"1191",144.9630576,-37.8136276
"1192",-43.1728965,-22.9068467
